s_no,journal_title,short_title,issn,impact_factor,acceptance_rate,total_articles,apc_usd,volume,issue,tier_classification,waiver_stance,journal_path,sender_full_name
148,"International Journal of Vasculitis",IJV,-,,"",2,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/international-journal-of-vasculitis,"Clarissa Griffin"
149,"Journal of Woman's Mental Health",JWMH,-,,"",2,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/womans-mental-health,"Yvonne Thompson"
150,"International Epilepsy Journal",IEJ,-,,68%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/international-epilepsy-journal,"Abigail James"
151,"Journal of Immunology and Geriatrics",JIG,-,,68%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/immunology-and-geriatrics,"Maria Bell"
152,"Journal of Bone Marrow Biology",JBMB,-,,64%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/bone-marrow-biology,"Hannah Ramirez"
153,"International Journal of Prostate Cancer",IJPC,-,,62%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/international-journal-of-prostate-cancer,"Charlotte Diaz"
154,"International Journal of Personalized Medicine",IJPM,-,,68%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/international-journal-of-personalized-medicine,"Charlotte Robinson"
155,"Journal of Arthritis Research and Therapy",JART,-,,62%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/arthritis-research-and-therapy,"Eva Hernandez"
156,"Journal of Memory",JM,-,,63%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/memory,"Marissa Howard"
157,"Journal of Transgenics",JTR,-,,69%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/transgenics,"Vanessa King"
158,"Journal of Primates",JP,-,,62%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/primates,"Patricia Brooks"
159,"International Journal of Ethology",IJE,-,,70%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/international-journal-of-ethology,"Anna Perry"
160,"Journal of Biosemiotic Research",JBSR,-,,61%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/biosemiotic-research,"Holly Brown"
161,"Journal of Advanced Cytology",JCY,-,,62%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/advanced-cytology,"Joan Cox"
162,"Journal of Carbohydrates",JCH,-,,69%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/carbohydrates,"Jacqueline Wright"
163,"International Journal of Glaucoma",IJG,-,,63%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/international-journal-of-glaucoma,"Ashley Morris"
164,"Journal of Body Fluids",JBF,-,,69%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/body-fluids,"Gwen Moore"
165,"Journal of Psychophysiology Practice and Research",JPR,-,,63%,1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/psychophysiology-practice-and-research,"Savannah Cox"
166,"Journal of Polymer Science Research",JPOR,-,,"",1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/polymer-science-research,"Savannah Brooks"
167,"Journal of Pancreas",JPAN,-,,"",1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/pancreas,"Rachel Allen"
168,"International Journal of Neuroimaging",IJNI,-,,"",1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/international-journal-of-neuroimaging,"Carmen Hernandez"
169,"Journal of Hereditary Diseases",JHD,-,,"",1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/hereditary-diseases,"Madison Cooper"
170,"Journal of Chromosomes",JC,-,,"",1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/chromosomes,"Holly Torres"
171,"Journal of Blood Pressure",JBP,-,,"",1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/blood-pressure,"Hannah Robinson"
172,"Journal of Nervous System and Physiological Phenomena",JNPP,-,,"",1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/nervous-system-and-physiological-phenomena,"Natalie Lewis"
173,"Journal of Death",JOD,-,,"",1,1200.0,"Vol 1","Issue 1","Tier 1","✅ Aggressive",/journal/death,"Nicole Adams"
174,"Journal of Sinusitis",JS,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/sinusitis,"Sienna Lee"
175,"Journal of Migraine Management",JMM,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/migraine-management,"Martha Wilson"
176,"International Journal of Allergy",IJA,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/international-journal-of-allergy,"Ada Mitchell"
177,"Journal of Intensive Care and Emergency Services",JICES,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/intensive-care-and-emergency-services,"Margaret Taylor"
178,"International Journal of Anesthesia",IJAN,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/international-journal-of-anesthesia,"Alice Lee"
179,"Journal of Alternative Medicine and Mind Body Practices",JAMMBP,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/alternative-medicine-and-mind-body-practices,"Elizabeth Gomez"
180,"Journal of Advances in Leukemia",JAL,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/advances-in-leukemia,"Eliza Bailey"
181,"Journal of Osteoarthritis and Cartilage",JOC,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/osteoarthritis-and-cartilage,"Natasha Jenkins"
182,"Journal of Current Chronic Diseases",JCD,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/current-chronic-diseases,"Ivy Watson"
183,"Journal of Mammal Research",JMR,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/mammal-research,"Melissa Barnes"
184,"International Journal of Cell",IJC,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/international-journal-of-cell,"Alison Thomas"
185,"Journal of Advanced Research in Botany",JARB,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/advanced-research-in-botany,"Emily Taylor"
186,"Journal of New Developments in Molecular Biology",JNMB,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/new-developments-in-molecular-biology,"Naomi Ward"
187,"Journal of Alcohol",JA,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/alcohol,"Danielle Ramirez"
188,"International Journal of Steroids",IJS,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/international-journal-of-steroids,"Claire Flores"
189,"International Journal of Amino Acids",IJAA,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/international-journal-of-amino-acids,"Alexa Edwards"
190,"Journal of Thrombosis and treatments",JTT,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/thrombosis-and-treatments,"Veronica Sanders"
191,"International Journal of Cytokine",IJCY,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/international-journal-of-cytokine,"Angela Hill"
192,"Journal of Developments in Mass Spectrometry",JDMS,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/developments-in-mass-spectrometry,"Joanna Mitchell"
193,"Journal of Implementation science",JIS,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/implementation-science,"Marian Parker"
194,"Journal of Ulcers",JU,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/ulcers,"Veronica Watson"
195,"International Journal of Structural Biology",IJSB,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/international-journal-of-structural-biology,"Claire Price"
196,"Journal of Verbal Behavior",JVB,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/verbal-behavior,"Violet Campbell"
197,"International Journal of Hydrocarbons",IJH,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/international-journal-of-hydrocarbons,"Barbara Powell"
198,"Journal of Oxygen Compounds",IJO,-,,"",0,1200.0,"Vol 0","Issue 0","Tier 1","✅ Aggressive",/journal/oxygen-compounds,"Caroline Russell"
